index,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,median_age,gdp_per_capita,life_expectancy
135,Europe,Latvia,2020-10-21,3609.0,46.0,1913.369,24.388,1886202.0,43.9,25063.846,75.29
136,Europe,Guernsey,2020-10-21,259.0,13.0,3862.6740000000004,193.87900000000002,67052.0,,,
137,Europe,Jersey,2020-10-21,516.0,32.0,5105.221,316.603,101073.0,,,
138,Europe,Italy,2020-10-21,434449.0,36705.0,7185.509,607.077,60461828.0,47.9,35220.084,83.51
139,Europe,Isle of Man,2020-10-21,348.0,24.0,4092.577,282.247,85032.0,,,81.4
140,Europe,Ireland,2020-10-21,52256.0,1865.0,10582.858999999999,377.699,4937796.0,38.7,67335.293,82.3
141,Europe,Hungary,2020-10-21,50180.0,1259.0,5194.429,130.327,9660350.0,43.4,26777.561,76.88
142,Europe,Kosovo,2020-10-21,17139.0,657.0,8867.565,339.926,1932774.0,,9795.834,
143,Europe,Finland,2020-10-21,13849.0,351.0,2499.496,63.349,5540718.0,42.8,40585.721,81.91
144,Europe,Greece,2020-10-21,26469.0,528.0,2539.466,50.657,10423056.0,45.3,24574.382,82.24
145,Europe,Faeroe Islands,2020-10-21,488.0,,9986.698,,48865.0,,,80.67
146,Europe,Moldova,2020-10-21,67958.0,1617.0,16846.461,400.847,4033963.0,37.6,5189.972,71.9
147,Europe,Malta,2020-10-21,4871.0,46.0,11031.868,104.181,441539.0,42.4,36513.323,82.53
148,Europe,Estonia,2020-10-21,4127.0,71.0,3111.103,53.523,1326539.0,42.7,29481.252,78.74
149,North America,Panama,2020-10-21,125739.0,2585.0,29141.543999999998,599.105,4314768.0,29.7,22267.037,78.51
150,North America,Grenada,2020-10-21,27.0,,239.959,,112519.0,29.4,13593.877,72.4
151,North America,Bonaire Sint Eustatius and Saba,2020-10-21,150.0,3.0,5720.606,114.412,26221.0,,,77.79
152,North America,Costa Rica,2020-10-21,97922.0,1222.0,19222.577,239.885,5094114.0,33.6,15524.995,80.28
153,North America,Bermuda,2020-10-21,188.0,9.0,3018.965,144.525,62273.0,,50669.315,82.59
154,North America,Antigua and Barbuda,2020-10-21,119.0,3.0,1215.178,30.635,97928.0,32.1,21490.943,77.02
155,North America,Belize,2020-10-21,2886.0,45.0,7258.168000000001,113.17299999999999,397621.0,25.0,7824.361999999999,74.62
156,North America,Guatemala,2020-10-21,102219.0,3546.0,5705.597,197.928,17915567.0,22.9,7423.808000000001,74.3
157,North America,Mexico,2020-10-21,860714.0,86893.0,6675.682,673.94,128932753.0,29.3,17336.468999999997,75.05
158,North America,Dominican Republic,2020-10-21,121973.0,2204.0,11243.923,203.173,10847904.0,27.6,14600.861,74.08
159,North America,Bahamas,2020-10-21,5923.0,124.0,15061.742,315.323,393248.0,34.3,27717.847,73.92
160,North America,Haiti,2020-10-21,8976.0,231.0,787.194,20.259,11402533.0,24.3,1653.1729999999998,64.0
161,North America,Trinidad and Tobago,2020-10-21,5333.0,98.0,3810.671,70.025,1399491.0,36.2,28763.071,73.51
162,North America,Aruba,2020-10-21,4355.0,34.0,40790.138999999996,318.453,106766.0,41.2,35973.781,76.29
163,North America,Turks and Caicos Islands,2020-10-21,698.0,6.0,18027.791,154.967,38718.0,,,80.22
164,North America,Jamaica,2020-10-21,8374.0,174.0,2827.945,58.761,2961161.0,31.4,8193.571,74.47
165,North America,Dominica,2020-10-21,33.0,,458.39099999999996,,71991.0,,9673.367,75.0
166,North America,United States Virgin Islands,2020-10-21,1337.0,21.0,12803.693000000001,201.105,104423.0,42.2,,80.58
167,North America,Barbados,2020-10-21,222.0,7.0,772.5210000000001,24.359,287371.0,39.8,16978.068,79.19
168,North America,Honduras,2020-10-21,90232.0,2582.0,9110.103000000001,260.687,9904608.0,24.9,4541.795,75.27
169,North America,Greenland,2020-10-21,16.0,,281.829,,56772.0,,,71.7
